Minimum number of cases,Degrees,Weighted Betweenness,Clustering,Strength,Weighted Closeness ,Weighted Eigenvector ,Upper rand,Lower rand
40,197.05774320095892,225.90509201334567,156.82880468000468,197.5612692917777,166.45606631868984,197.40787663912448,169.40942297720443,158.0852650816726
41,196.59754586405225,225.59996761341137,156.1976438415018,197.1511708043823,165.86322380200903,196.92840555047522,168.7844884661365,157.65336867974946
42,196.08259102680103,225.1587926685828,155.55226594245664,196.661666364885,165.2818988983602,196.408799852073,168.02929385756036,157.22646702347197
43,195.64046158409042,224.81353308578613,154.99151259572878,196.19082663728724,164.67765120471037,196.02149605320128,167.5932869688852,156.28432349989356
44,195.08516710916757,224.4736302886815,154.31978732123054,195.63372659682346,164.0108301179196,195.36528738285864,167.13007454809465,155.80691484324348
45,194.7026936132272,224.0566143165379,153.83596511145603,195.1920356403846,163.51364256383036,195.05929112757127,166.35160344878125,155.1621840324958
46,194.3384467843582,223.7588163220054,153.3493171807823,194.80170350459824,163.1102599038601,194.641633091235,165.98822225174752,154.72524754670746
47,193.84195933456564,223.5019763282665,152.71443449828536,194.33501354573963,162.46889929018687,194.14813394751684,165.3824885557489,154.25880131794113
48,193.3797399910666,223.20385379804554,152.18090652219814,193.88160718640154,161.92366728185183,193.70051652694582,165.00096590665575,153.66074810467526
49,193.00914282576466,222.81726384816164,151.74911772539272,193.45237689531353,161.5018811241226,193.3163406639731,164.64740852268056,153.1138712944382
50,192.60221571413987,222.4000822188857,151.20855914470238,193.03819392890227,161.00595589349876,192.91099925828036,164.10861545501143,152.51915563130177
51,192.10432572972633,221.82933813019358,150.5531315596732,192.48886617551426,160.3908116817792,192.44394432000834,163.49859287879707,151.96798773626116
52,191.77243992955087,221.53201252730224,150.1861346577271,192.0823022470061,160.00498074404896,192.30419861423957,163.0820804368572,151.7584946444009
53,191.39469025155998,221.20127225966323,149.77594892845494,191.6320319231599,159.5432586343801,191.93791654803107,162.66672434672557,151.2458366581487
54,190.96304097895933,220.83031992322,149.35169071488798,191.27491739642335,159.13953691453716,191.4853748673474,162.37050466625695,150.78535612467965
55,190.54633437322747,220.51315004110123,148.96536402038438,190.85261958397518,158.6785454684622,191.05690662306762,161.8851260388172,150.14786591469553
56,190.25124815635672,220.29296677169845,148.79325216519686,190.58777270098892,158.4924313793409,190.6972774489787,161.47562770001088,149.67868190501358
57,189.77655914657237,219.8571923530509,148.14062515206507,190.09273400243842,157.8828578802224,190.22097627813955,161.01611502162203,149.38794999191293
58,189.5269716100791,219.6702393552698,147.88599788180855,189.9581664091103,157.63265014292455,189.97235675520176,160.6063291332226,149.17944916026462
59,189.15212887103405,219.36565809532502,147.44071202595475,189.62458407254775,157.29375009465952,189.54383035572386,160.62718538382015,148.54475419107092
60,188.77099801394195,219.08132939123217,147.07483912771747,189.1913313358919,156.83341868481915,189.1448809252954,159.89960108088079,148.41996403217917
