Minimum number of cases,Degrees,Weighted Betweenness,Clustering,Strength,Weighted Closeness ,Weighted Eigenvector ,Upper rand,Lower rand
1,211.09188233765548,199.76180946210843,177.36836398423247,208.59541527934445,193.5304038494916,206.99904881552075,186.66949876835142,182.34071129369931
2,224.50495871112696,213.70527889037777,186.935692844882,222.76765731653373,206.0767803749847,219.7919292394726,197.03820596331474,192.736903880485
3,231.39927369624496,222.9452049590896,193.2743938415207,229.21725315975635,213.33105343700538,225.75397345087305,203.5831212568044,199.28550323095502
