Minimum number of cases,Degrees,Weighted Betweenness,Clustering,Weighted Strength, Weighted Closeness , Weighted Eigenvector,R-Mean,R-std
1,3364.597542092805,3295.8886911942413,2272.6608814590813,3311.260234309874,3065.5188474669903,3262.7562317175416,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
2,3377.879653724993,3315.0761923328023,2253.7928108907454,3326.900482391498,3074.4585592566627,3262.328937336639,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
3,3376.510158237867,3338.589506237201,2255.8836770586868,3322.4525965585262,3068.449453647515,3255.7604525867764,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
4,3380.4734344806375,3330.511985472435,2257.788079861508,3319.408540835525,3057.0204409789735,3259.5366345508587,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
5,3370.6631086040115,3297.585959878883,2257.8282971766835,3309.448632948538,3056.2919233306184,3255.837394958415,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
